,rf_u_0.0,rf_u_1.0,rf_u_2.0,ul_ta_tier_0,ul_ta_tier_1,ul_ta_tier_2,ul_ta_tier_3,is_detached,ta_attach_diverge,impossible_state,time,cc,rsrp,cfo,dl_mcs_ns,dl_snr,dl_turbo,dl_brate_ue,dl_bler,ul_mcs_ns,ul_buff,ul_brate_ue,ul_bler,rf_o,rf_l,nof_ue,dl_brate_bs,ul_brate_bs,num_ues,IMSI,RNTI,slicing_enabled,slice_id,slice_prb,power_multiplier,scheduling_policy,dl_mcs_s,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,ul_mcs_s,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_rssi,ul_sinr,phr,sum_requested_prbs,sum_granted_prbs,dl_pmi,dl_ri,ul_n,ul_turbo_iters
count,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0,245403.0
mean,0.9975794916932555,0.002391983798079078,2.4449578856004206e-05,0.015818877519834722,1.2224789428002103e-05,0.0012795279601308868,0.9828893697306064,0.012791204671499534,0.00041971777036140553,0.004164578265139383,-0.04483603993895338,0.0,-0.07588928506057455,0.27111213888610464,0.06845444680508248,-0.0773189805991319,0.007429096747165294,-0.06735696335278214,0.10779094506522775,-0.33281294661975935,-0.0031084593049260853,-0.1423926922823837,0.14232820351766848,0.0,0.0009468589417215552,0.0,0.0,0.0,1.4006674735027689,8.337783156685125,0.0,0.0,1.5331108421657438,17.25821200229826,0.0,1.5331108421657438,-0.37786095438931067,0.4040048410166135,0.0,-0.001326067887800883,-0.19866505299446216,0.0,-1.6662216843314874,-0.8981060598281171,-3.731775895160206,0.0,-0.007585890624808957,-1.0662216843314873,0.0,0.0,-4.969959185095546,0.0,-5.264886737325949,-1.9966626324861554,0.0,0.0,0.0,0.0
std,0.04913918279589619,0.04884948244842977,0.004944601167170689,0.12477461310388233,0.0034963823871651117,0.03574767091247393,0.12968394323524474,0.11237277789261478,0.02048275657630625,0.06439915723650026,1.0072640377327333,0.0,0.8000175383727366,0.9917640440555636,0.8726364256927432,1.0137286568280635,0.9598592401681167,0.7568518985710476,0.9792880573266036,1.0086038842697815,0.9459655159851623,0.4737229427918565,1.187608677235898,0.0,0.755024544551043,0.0,0.0,0.0,1.496710452158938,9.978069681059589,0.0,0.0,0.4989034840529794,18.95833239401322,0.0,0.4989034840529794,0.47622832070277143,8.98026271295363,0.0,0.0015355151651485787,2.993420904317876,0.0,0.9978069681059589,0.028537279287830387,3.4923243883708555,0.0,0.0066733330026926534,0.9978069681059589,0.0,0.0,1.209042703253989,0.0,3.9912278724238357,7.483552260794692,0.0,0.0,0.0,0.0
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7314195470262392,0.0,-3.795355771149072,-5.338983496823365,-2.54913751467193,-7.404287101918062,-1.463050212430082,-0.6986027649639559,-0.4614426902014836,-1.3948183120478612,-0.16107659317816475,-0.2778780460073878,-0.42341194454266284,0.0,-0.010069836745545273,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,-3.0,0.0,1.0,-0.8235299999999999,-8.0,0.0,-0.0027630500000000004,-3.0,0.0,-2.5999999999999996,-0.9285999999999976,-7.0,0.0,-0.013830999999999968,-2.0,0.0,0.0,-6.261900000000008,0.0,-9.0,-9.0,0.0,0.0,0.0,0.0
25%,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.9241719795396421,0.0,-0.2926542264143044,-0.31782755156475,-0.45979121777753623,-0.648255803091472,-0.3297923750417569,-0.5620939858357876,-0.4614426902014836,-1.3948183120478612,-0.16107659317816475,-0.2778780460073878,-0.42341194454266284,0.0,-0.010069836745545273,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,-3.0,0.0,1.0,-0.8235299999999999,-8.0,0.0,-0.0027630500000000004,-3.0,0.0,-2.5999999999999996,-0.9285999999999976,-7.0,0.0,-0.013830999999999968,-2.0,0.0,0.0,-6.261900000000008,0.0,-9.0,-9.0,0.0,0.0,0.0,0.0
50%,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0771216865478101,0.0,-0.14036285490409708,0.3719429411357212,0.2060444152986993,0.010869201672097732,-0.2844620615462239,-0.429639735099017,-0.4614426902014836,-0.37323316013435953,-0.16107659317816475,-0.2778780460073878,-0.42341194454266284,0.0,-0.010069836745545273,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,2.0,35.0,0.0,2.0,-0.8235299999999999,-8.0,0.0,-0.0027630500000000004,-3.0,0.0,-2.5999999999999996,-0.8713999999999977,-7.0,0.0,-0.013830999999999968,-2.0,0.0,0.0,-3.8385000000000105,0.0,-9.0,-9.0,0.0,0.0,0.0,0.0
75%,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8281151615943764,0.0,0.1642198881163175,0.9385965037889689,0.43564290946291845,0.6699942064356675,0.03285013292250714,0.48094728561352135,0.5096574735840229,0.4911850453309112,-0.16107659317816475,-0.20962385928637828,-0.42341194454266284,0.0,-0.010069836745545273,0.0,0.0,0.0,3.0,19.0,0.0,0.0,2.0,35.0,0.0,2.0,0.13101999999999991,10.0,0.0,0.0003147299999999992,3.0,0.0,-0.5999999999999996,-0.8713999999999977,0.0,0.0,-0.0004549999999999693,0.0,0.0,0.0,-3.8385000000000105,0.0,-1.0,6.0,0.0,0.0,0.0,0.0
max,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.916022973028143,0.0,8.38795394966751,3.9748938798816176,3.8796203219262058,1.6586817135810221,7.603012486676517,4.18141587842027,23.81606140443618,3.32019008139907,42.43835922407652,10.382400134349131,4.847977735217946,0.0,328.79765375353924,0.0,0.0,0.0,3.0,19.0,0.0,0.0,2.0,35.0,0.0,2.0,0.13101999999999991,10.0,0.0,0.0003147299999999992,3.0,0.0,-0.5999999999999996,-0.8713999999999977,0.0,0.0,-0.0004549999999999693,0.0,0.0,0.0,-3.8385000000000105,0.0,-1.0,6.0,0.0,0.0,0.0,0.0
