,rf_u_0.0,rf_u_1.0,rf_u_2.0,ul_ta_tier_0,ul_ta_tier_1,ul_ta_tier_2,ul_ta_tier_3,is_detached,ta_attach_diverge,impossible_state,time,cc,rsrp,cfo,dl_mcs_ns,dl_snr,dl_turbo,dl_brate_ue,dl_bler,ul_mcs_ns,ul_buff,ul_brate_ue,ul_bler,rf_o,rf_l,nof_ue,dl_brate_bs,ul_brate_bs,num_ues,IMSI,RNTI,slicing_enabled,slice_id,slice_prb,power_multiplier,scheduling_policy,dl_mcs_s,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,ul_mcs_s,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_rssi,ul_sinr,phr,sum_requested_prbs,sum_granted_prbs,dl_pmi,dl_ri,ul_n,ul_turbo_iters
count,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0,1313.0
mean,0.9961919268849961,0.003808073115003808,0.0,0.015993907083015995,0.0,0.0015232292460015233,0.9824828636709825,0.011424219345011425,0.0,0.00456968773800457,-0.0607567806221143,0.0,-0.08132530113509824,0.31961255607564637,0.08248440313081108,-0.08313015639490792,-0.010736706977043884,-0.05594566790204579,0.11184292629070282,-0.30312281674366703,-0.02818792450257238,-0.1596843380421869,0.07413818722636402,0.0,0.0008915168428230538,0.0,0.0,0.0,1.421172886519421,8.474485910129474,0.0,0.0,1.5262757044935262,16.998476770754,0.0,1.5262757044935262,-0.3713364737242955,0.5270373191165271,0.0,-0.0013050308377760857,-0.15765422696115766,0.0,-1.6525514089870523,-0.898497029702968,-3.683929931454684,0.0,-0.007494463823305377,-1.0525514089870525,0.0,0.0,-4.9865234577303985,0.0,-5.21020563594821,-1.8941355674028941,0.0,0.0,0.0,0.0
std,0.061615445596008234,0.06161544559600823,0.0,0.12549939252372372,0.0,0.03901369308461592,0.1312379665344058,0.10631234436985795,0.0,0.0674705326012092,0.9992289982470853,0.0,0.7991502098657032,0.9803006770941162,0.8527207496998711,1.0064633017914992,0.9077779058122326,0.7698059892105493,1.0915396993851953,1.0133558639404003,0.8246212054773021,0.40273717766470907,1.1037588011446269,0.0,0.22224325297782327,0.0,0.0,0.0,1.4984980777906751,9.989987185271167,0.0,0.0,0.4994993592635583,18.980975652015218,0.0,0.4994993592635583,0.47679711338502945,8.990988466744051,0.0,0.0015373491379541944,2.9969961555813502,0.0,0.9989987185271166,0.028571363349875496,3.4964955148449084,0.0,0.0066813034295093564,0.9989987185271166,0.0,0.0,1.2104867472393057,0.0,3.9959948741084665,7.492490388953375,0.0,0.0,0.0,0.0
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7297585987019886,0.0,-3.795355771149072,-2.5015060442301977,-2.54913751467193,-7.305418351203527,-1.463050212430082,-0.6986027649639559,-0.4614426902014836,-1.3948183120478612,-0.16107659317816475,-0.2778780460073878,-0.42341194454266284,0.0,-0.010069836745545273,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,-3.0,0.0,1.0,-0.8235299999999999,-8.0,0.0,-0.0027630500000000004,-3.0,0.0,-2.5999999999999996,-0.9285999999999976,-7.0,0.0,-0.013830999999999968,-2.0,0.0,0.0,-6.261900000000008,0.0,-9.0,-9.0,0.0,0.0,0.0,0.0
25%,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.952434782952694,0.0,-0.2926542264143044,-0.3115138628443796,-0.4368313683611144,-0.648255803091472,-0.3297923750417569,-0.5569025671781702,-0.4614426902014836,-1.3948183120478612,-0.16107659317816475,-0.2778780460073878,-0.42341194454266284,0.0,-0.010069836745545273,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,-3.0,0.0,1.0,-0.8235299999999999,-8.0,0.0,-0.0027630500000000004,-3.0,0.0,-2.5999999999999996,-0.9285999999999976,-7.0,0.0,-0.013830999999999968,-2.0,0.0,0.0,-6.261900000000008,0.0,-9.0,-9.0,0.0,0.0,0.0,0.0
50%,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.15019007186444222,0.0,-0.14036285490409708,0.4398150948797035,0.2060444152986993,0.010869201672097732,-0.2844620615462239,-0.41528747461627996,-0.4614426902014836,-0.294649686910244,-0.16107659317816475,-0.2778780460073878,-0.42341194454266284,0.0,-0.010069836745545273,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,2.0,35.0,0.0,2.0,-0.8235299999999999,-8.0,0.0,-0.0027630500000000004,-3.0,0.0,-2.5999999999999996,-0.8713999999999977,-7.0,0.0,-0.013830999999999968,-2.0,0.0,0.0,-3.8385000000000105,0.0,-9.0,-9.0,0.0,0.0,0.0,0.0
75%,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8148275750003713,0.0,0.1642198881163175,0.9685865252107284,0.43564290946291845,0.6699942064356675,0.010184976174740618,0.47910833958176274,0.5096574735840229,0.6483519917791423,-0.16107659317816475,-0.20962385928637828,-0.42341194454266284,0.0,-0.010069836745545273,0.0,0.0,0.0,3.0,19.0,0.0,0.0,2.0,35.0,0.0,2.0,0.13101999999999991,10.0,0.0,0.0003147299999999992,3.0,0.0,-0.5999999999999996,-0.8713999999999977,0.0,0.0,-0.0004549999999999693,0.0,0.0,0.0,-3.8385000000000105,0.0,-1.0,6.0,0.0,0.0,0.0,0.0
max,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.8578897816793711,0.0,8.38795394966751,3.928320020609875,3.8796203219262058,1.6586817135810221,7.603012486676517,3.113246583176007,23.81606140443618,3.005856188502608,8.376444003518962,6.73212575806736,4.847977735217946,0.0,6.632510437805663,0.0,0.0,0.0,3.0,19.0,0.0,0.0,2.0,35.0,0.0,2.0,0.13101999999999991,10.0,0.0,0.0003147299999999992,3.0,0.0,-0.5999999999999996,-0.8713999999999977,0.0,0.0,-0.0004549999999999693,0.0,0.0,0.0,-3.8385000000000105,0.0,-1.0,6.0,0.0,0.0,0.0,0.0
